36 2	
	 -6.427811056 -6.427811056
	 -4.820858292 -6.427811056
	 -3.213905528 -6.427811056
	 -1.606952764 -6.427811056
	   0 -6.427811056
	 1.606952764 -6.427811056
	 3.213905528 -6.427811056
	 4.820858292 -6.427811056
	 6.427811056 -6.427811056
	 6.427811056 -6.427811056
	 6.427811056 -4.820858292
	 6.427811056 -3.213905528
	 6.427811056 -1.606952764
	 6.427811056   0
	 6.427811056 1.606952764
	 6.427811056 3.213905528
	 6.427811056 4.820858292
	 6.427811056 6.427811056
	 6.427811056 6.427811056
	 4.820858292 6.427811056
	 3.213905528 6.427811056
	 1.606952764 6.427811056
	   0 6.427811056
	 -1.606952764 6.427811056
	 -3.213905528 6.427811056
	 -4.820858292 6.427811056
	 -6.427811056 6.427811056
	 -6.427811056 6.427811056
	 -6.427811056 4.820858292
	 -6.427811056 3.213905528
	 -6.427811056 1.606952764
	 -6.427811056   0
	 -6.427811056 -1.606952764
	 -6.427811056 -3.213905528
	 -6.427811056 -4.820858292
	 -6.427811056 -6.427811056
	
