2601 2	
	 -4.01738191 -4.01738191
	 -3.856686634 -4.01738191
	 -3.695991357 -4.01738191
	 -3.535296081 -4.01738191
	 -3.374600804 -4.01738191
	 -3.213905528 -4.01738191
	 -3.053210252 -4.01738191
	 -2.892514975 -4.01738191
	 -2.731819699 -4.01738191
	 -2.571124422 -4.01738191
	 -2.410429146 -4.01738191
	 -2.24973387 -4.01738191
	 -2.089038593 -4.01738191
	 -1.928343317 -4.01738191
	 -1.76764804 -4.01738191
	 -1.606952764 -4.01738191
	 -1.446257488 -4.01738191
	 -1.285562211 -4.01738191
	 -1.124866935 -4.01738191
	 -0.9641716584 -4.01738191
	 -0.803476382 -4.01738191
	 -0.6427811056 -4.01738191
	 -0.4820858292 -4.01738191
	 -0.3213905528 -4.01738191
	 -0.1606952764 -4.01738191
	   0 -4.01738191
	 0.1606952764 -4.01738191
	 0.3213905528 -4.01738191
	 0.4820858292 -4.01738191
	 0.6427811056 -4.01738191
	 0.803476382 -4.01738191
	 0.9641716584 -4.01738191
	 1.124866935 -4.01738191
	 1.285562211 -4.01738191
	 1.446257488 -4.01738191
	 1.606952764 -4.01738191
	 1.76764804 -4.01738191
	 1.928343317 -4.01738191
	 2.089038593 -4.01738191
	 2.24973387 -4.01738191
	 2.410429146 -4.01738191
	 2.571124422 -4.01738191
	 2.731819699 -4.01738191
	 2.892514975 -4.01738191
	 3.053210252 -4.01738191
	 3.213905528 -4.01738191
	 3.374600804 -4.01738191
	 3.535296081 -4.01738191
	 3.695991357 -4.01738191
	 3.856686634 -4.01738191
	 4.01738191 -4.01738191
	 -4.01738191 -3.856686634
	 -3.856686634 -3.856686634
	 -3.695991357 -3.856686634
	 -3.535296081 -3.856686634
	 -3.374600804 -3.856686634
	 -3.213905528 -3.856686634
	 -3.053210252 -3.856686634
	 -2.892514975 -3.856686634
	 -2.731819699 -3.856686634
	 -2.571124422 -3.856686634
	 -2.410429146 -3.856686634
	 -2.24973387 -3.856686634
	 -2.089038593 -3.856686634
	 -1.928343317 -3.856686634
	 -1.76764804 -3.856686634
	 -1.606952764 -3.856686634
	 -1.446257488 -3.856686634
	 -1.285562211 -3.856686634
	 -1.124866935 -3.856686634
	 -0.9641716584 -3.856686634
	 -0.803476382 -3.856686634
	 -0.6427811056 -3.856686634
	 -0.4820858292 -3.856686634
	 -0.3213905528 -3.856686634
	 -0.1606952764 -3.856686634
	   0 -3.856686634
	 0.1606952764 -3.856686634
	 0.3213905528 -3.856686634
	 0.4820858292 -3.856686634
	 0.6427811056 -3.856686634
	 0.803476382 -3.856686634
	 0.9641716584 -3.856686634
	 1.124866935 -3.856686634
	 1.285562211 -3.856686634
	 1.446257488 -3.856686634
	 1.606952764 -3.856686634
	 1.76764804 -3.856686634
	 1.928343317 -3.856686634
	 2.089038593 -3.856686634
	 2.24973387 -3.856686634
	 2.410429146 -3.856686634
	 2.571124422 -3.856686634
	 2.731819699 -3.856686634
	 2.892514975 -3.856686634
	 3.053210252 -3.856686634
	 3.213905528 -3.856686634
	 3.374600804 -3.856686634
	 3.535296081 -3.856686634
	 3.695991357 -3.856686634
	 3.856686634 -3.856686634
	 4.01738191 -3.856686634
	 -4.01738191 -3.695991357
	 -3.856686634 -3.695991357
	 -3.695991357 -3.695991357
	 -3.535296081 -3.695991357
	 -3.374600804 -3.695991357
	 -3.213905528 -3.695991357
	 -3.053210252 -3.695991357
	 -2.892514975 -3.695991357
	 -2.731819699 -3.695991357
	 -2.571124422 -3.695991357
	 -2.410429146 -3.695991357
	 -2.24973387 -3.695991357
	 -2.089038593 -3.695991357
	 -1.928343317 -3.695991357
	 -1.76764804 -3.695991357
	 -1.606952764 -3.695991357
	 -1.446257488 -3.695991357
	 -1.285562211 -3.695991357
	 -1.124866935 -3.695991357
